               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11757,            0.082898,            0.078914,            0.017484,             0.16641,            0.010932,           0.0024667,             0.10201,            0.096289,            0.074168,               0.091,               0.001,               0.001
                   1,            0.098549,            0.097286,            0.064441,            0.015648,             0.21217,            0.010231,           0.0026336,            0.098878,             0.09634,            0.055693,            0.080892,           0.0018921,           0.0018921
                   2,            0.089463,            0.093445,            0.049489,             0.41807,             0.45628,             0.44465,             0.11135,            0.079242,             0.10362,            0.038852,            0.070566,           0.0025664,           0.0025664
                   3,            0.089904,            0.076416,            0.036957,             0.19238,             0.26134,             0.24306,            0.067455,            0.094898,            0.077575,            0.027409,            0.060023,           0.0030229,           0.0030229
                   4,            0.088035,            0.064646,            0.027863,             0.15978,             0.52502,             0.18782,            0.058568,             0.08958,            0.074539,            0.021057,            0.049262,           0.0032616,           0.0032616
                   5,            0.089862,             0.05467,            0.023658,             0.24635,             0.61334,              0.3076,             0.10823,            0.084033,            0.060414,            0.017602,            0.038283,           0.0032825,           0.0032825
                   6,            0.083732,            0.053433,            0.019807,              0.4062,             0.36367,             0.34803,             0.12105,            0.091581,            0.060185,            0.014556,            0.027086,           0.0030856,           0.0030856
                   7,            0.083293,            0.051198,            0.018623,             0.50319,             0.64598,             0.56262,             0.24176,            0.069728,            0.058883,            0.013156,            0.015671,           0.0026709,           0.0026709
                   8,             0.07475,            0.058641,            0.016352,             0.34321,             0.43019,             0.30922,             0.09973,            0.088131,             0.05778,            0.012574,           0.0040384,           0.0020384,           0.0020384
                   9,             0.07349,            0.052471,            0.016518,              0.6619,             0.66397,             0.73029,             0.36351,            0.061612,            0.055298,            0.012542,             0.00109,             0.00109,             0.00109
